EVEN_NM,EVENT_TME_DC,EVEN_BGN_DT,EVEN_END_DT,HSTN_INSTT_NM,EVEN_PLAC_NM,EVENT_DETAIL_DC
러시아 연극주간,,1999-10-06,1999-10-17,,,정동극장 기획.『청혼』외. 정동극장
’99 서울시 장애청소년연극축제,,1999-10-06,1999-10-21,,,한국청소년공연예술진흥위원회 . 재일화재세실극장
문경문화제,,1999-10-07,1999-10-08,,문경세재,"문경문화원 주관, 민속놀이"
처용문화제,,1999-10-07,1999-10-11,처용문화제추진위원회,울산태화강둔치,"처용무시연, 처용제전"
의암주논개 제전,,1999-10-07,1999-10-13,의암주논개제전위원회,논개사당,민속놀이 외
신라문화제,,1999-10-08,1999-10-12,,경주시민운동장,신라문화제전위원회
의정부 회룡문화제,,1999-10-08,1999-10-10,,의정부일대,"정주당놀이 , 국악공연 외"
’99 부평풍물대축제,,1999-10-08,1999-10-12,부평문화원,인천 부평 전지역,풍물놀이
개천예술제,,1999-10-08,1999-10-17,개천예술재단,전주시 일원,청소년축제
구리문화제,,1999-10-08,1999-10-30,,구리시청 대강당,구리국악제 외
팔마문화제,,1999-10-08,1999-10-30,,팔마경기장외,팔마문화제위원회
전남도립 국악원 광양숯불구축제 공연,,1999-10-09,1999-10-09,광양시,전남광양읍 백서천변,전남도립국악단 공연
고산문학대축제,,1999-10-09,1999-10-10,해남문화원,해남 군민회관 대강당,
제45회 백제문화제,,1999-10-09,1999-10-11,공주시,공주종합운동장,
제49회 개천예술제,,1999-10-09,1999-10-11,개천예술재단,경남문화예술회관,
제17회 동구문화제,,1999-10-10,1999-10-10,개천예술재단 주최,동구능,"세종국악관현악단연주, 희문, 기명, 귀인, 역성 외"
외국관광객 유치를 위한 공연,,1999-10-12,1999-10-12,전라남도,전남무등파크호텔,전남도립국악단공연
한국거리극페스티벌,,1999-10-12,1999-10-12,,,『아프면서 크는 나무』외. 장안공원 등
제4회 성남예술제,,1999-10-14,1999-10-14,성남예총,성남문화원,
예천 문화제,,1999-10-14,1999-10-15,예천군,예천문화회관,
제14회 을구문화예술제,,1999-10-14,1999-10-14,,,용인문화예술회관
제29회 우륵문화제,,1999-10-15,1999-10-19,충북예총,충주종합운동장 및 충주시내 일원,종합예술제
진해 예술제,,1999-10-16,1999-10-26,진해예총지부,진해시민회관,연극공연
홍부제,,1999-10-16,1999-10-17,남원시,사랑의 광장,"전국학생판소리대회, 창무극 흥부전 외"
’99 광양예술제,,1999-10-16,1999-10-00,,,"『아, 매천』외. 광양문예회관"
제5896회 개천대제 및 제13회 청학 단풍제,,1999-10-17,1999-10-17,배달성전 삼성궁,경남 배달성전 삼성군,사물놀이 판소리 외
구리문화예술제,,1999-10-19,1999-10-24,,경기구리시 전역,온달장군 위령제
제6회 남도음식축제,,1999-10-21,1999-10-24,전라남도,전남순천낙안읍성,전남도립 국악단공연
자미축제,,1999-10-22,1999-10-23,광주북구청,북구 청소년수련관,
구덕골 문화예술대축제,,1999-10-22,1999-10-24,사천시 주최,부산서구 서대신동 구덕야영장,청소년 어울마당 등
제7회 소극장연극제,,1999-10-22,1999-10-31,,,전북 창작소극장
와룡문화제,,1999-10-23,1999-10-25,사천시,사천 공설운동장외,
’99 영호남교류연극제,,1999-10-23,1999-10-30,,,영호남연극발전을 위한 모임 주관. 부산시민회관 소극장
지구촌 한마당 축제,,1999-10-24,1999-10-24,서울시,서울 능동어린이대공원,"풍물패, 민속놀이마당"
’99 세계 드럼페스티벌,,1999-10-24,1999-10-28,한울림 예술단,광화문 시민열린 마당,
전통음식축제 축하 국악공연,,1999-10-26,1999-10-26,,용인에버랜드,"축제, 신뱃놀이 외"
상주문화제,,1999-10-26,1999-10-27,상주문화원,상주시민운동장외,선유제
종교문화여는 축제마당- 한국종교 예술제,,1999-10-26,1999-11-02,한국종교지도자협회,예술의전당,"가야금병창 〈연꽃향기 누리 가득히〉（박범훈곡）, 진도 아리랑"
제1회 지역간 연극교류축제,,1999-10-26,1999-10-28,,,영호남연극발전 협의회 .『화개장터』부산시민회관
한내돌다리밟기 민속축제,,1999-10-27,1999-10-27,대천문화원,대천문화원,"봉산농악, 고유저농민속 축제 재현"
제3회 전국청소년연극제,,1999-10-27,1999-11-04,,,예술의 전당 자유소극장
운주대축제,,1999-10-28,1999-11-01,운주대축제추진위원회,전남 운주사 일원,
서편제 소리축제,,1999-10-29,1999-10-30,서편제 보성소리 전수관,서편제 보성소리 전수관 및 실내체육관,
대둔산죽제,,1999-10-29,1999-10-31,완주군,대둔산 잔디 광장,"국악공연, 풍물놀이"
나주시민의 날 기념 나주배축제,,1999-10-30,1999-10-30,나주시 문화원,나주시,"전통삼색유산놀이 , 국악 공연 외"
국악인 국악로 대축제,,1999-10-31,1999-10-31,종로문화원,서울 종로구,"길놀이, 국악한마당"
청소년 축제한마당,,1999-10-31,1999-10-31,서울시,여의도 공원 일대,"사물놀이, 민속놀이"
초의 문화제,,1999-10-31,1999-11-01,해남 다인회 외,전남 해남 대흥사 초의 문화관,
제27회 남도문화제,,1999-11-01,1999-11-02,전라남도,보성실내 체육관,
’99 정읍사문화제 내장산단풍제,,1999-11-01,1999-11-15,,"국립공원 내장산, 정읍사 예술회관","제례, 시조경창대회, 전국농악경연대회 외"
’99 남도음식초대잔치 축하공연,,1999-11-04,1999-11-04,대구MBC,대구 우방랜드 주차장,전남도립국악단공연
고흥유자축제,,1999-11-05,1999-11-06,고흥문화원,전남 고흥종합문화회관,전국판소리경연대회
제4회 영호남예술대축제,,1999-11-06,1999-11-00,"광주예총,대구예총 공동주최",,대구문예회관
국내체류 외국인 전남답사 축하공연,,1999-11-07,1999-11-07,전라남도,광주그랑프리호텔,전남도립국악단공연
제7회 광주국악대전,,1999-11-07,1999-11-07,광주국악진흥회,광주문화예술회관,
제7회 소극장 연극축제,,1999-11-08,1999-12-19,,,"창작소극장, 군산 사람세상 소극장 등"
1999 제41회 충북예술제,,1999-11-10,1999-11-21,"충청북도, 충북예총",청주예술의전당,"가야금독주, 시조 경창대회, 국악공연"
제8회 빛고을인형극제,,1999-11-11,1999-11-14,,,"개구쟁이 인형극단 외 , 광주롯데 백화점 특별공연장"
제9회 인천청소년연극제,,1999-11-11,1999-11-17,,,가정고등학교 외. 수봉공원 문화회관
제4회 농업인의 날 기념공연,,1999-11-12,1999-11-12,전라남도,광주남도예술회관,"남도민요, 상주함창가, 쾌지나 칭칭나네 외"
전남도립국악단 농산물축제 축하 국악공연,,1999-11-13,1999-11-13,전라남도,광주염주체육관,
충북도내 대학연극축제,,1999-11-13,1999-11-16,,,청주 예술의전당
제11회 전국소극장연극축제,,1999-11-24,1999-12-02,,,『시집가는 날』외. 마산올림픽국민생활관
제13회 예총문화예술상,,1999-11-26,1999-11-26,한국문화재 총연합회,,
제2회 광주 소극장페스티벌,,1999-11-30,1999-12-19,,,"문예정터 , 소극장 연바람, 호남대 소극장 등지"
제9회 목련연극제,,1999-11-30,1999-12-04,,,한국예총 대구지회. 예전소극장
제2회 변방연극제,,1999-12-01,2000-01-01,,,서울공연예술가들의 모임 . 동숭아트센터 소극장
대한민국작곡상,,1999-12-02,1999-12-02,한국 음악협회,문예회관,
부산 소극장페스티벌,,1999-12-03,1999-12-00,,,"부두연극단『연극같은 내 인생』외, 연당소극장"
KBS-’99 국악대상,,1999-12-10,1999-12-10,한국 방송공사,KBS 홀,
대전시 소극장연극축전,,1999-12-10,1999-12-18,,,예사랑 외. 대전시민회관 소극장
한국마임 ’99,,1999-12-23,1999-12-28,,,한국마임협회. 문예회관 소극장
전라남도문화상 시상식 축하공연,,1999-12-30,1999-12-30,전라남도,전라남도청회의실,
남도영어체험행사공연,,1999-12-30,1999-12-30,전라남도,광주그랑프리호텔,"남도민요, 상주함창 외"
새천년맞이 광안리 횃불축제,,1999-12-31,1999-12-31,부산수영구청,부산수영구 광안리 해변,청소년 어울마당
성산 일출제,,1999-12-31,1999-01-01,남제주군,제주 성산일출봉,걸궁한마당
제18회 전남연극제,,2000-00-00,2000-00-00,,여수,"거울 ＜배비장전＞ 외 5개 작품, 여수 진남예술회관"
제7회 통일염원 연극제,,2000-00-00,2000-00-00,,의정부,
제1회 전주인형극제,,2000-01-14,2000-01-16,,전주,"한국, 일본, 뉴질랜드 3개국 5개 작품, 창작소극장"
제7회 바뇰레 국제 서울안 무대회,,2000-02-07,2000-02-09,,문예회관 대극장,"7일 : 김남식의 ＜짐승의 시간＞, 김형희의 ＜우리가 원하는 것은＞, 최경실의 ＜땅속의 사람들＞ 8일 : 이연수의 ＜중심의 힘＞, 배인영의 ＜풍장＞, 홍승엽의 ＜다섯 번째 배역＞ 9일 : 이미영의 ＜수천가＞, 장은정의 ＜예감＞, 최데레사의 ＜식탁＞ 25일, 26일 : 김윤수, 김미선 27일, 28일 : 정란, 노정식, 박시종"
통영현대음악제 2000,,2000-02-18,2000-02-20,,통영시민문화회관,
드림 앤 비전 댄스페스티벌,,2000-02-25,2000-02-28,창무예술원,포스트극장,
제2회 네티즌연극제,,2000-02-29,2000-04-02,6대 통신 연극동호회,서울,열린극장
